step,train_reward
1,0.4082
2,0.4404
3,0.4147
4,0.4763
5,0.4577
6,0.5591
7,0.5452
8,0.527
9,0.5274
10,0.6452
11,0.5051
12,0.5664
13,0.7578
14,0.6048
15,0.613
16,0.6062
17,0.5446
18,0.6431
19,0.5696
20,0.7276
21,0.5821
22,0.5531
23,0.6251
24,0.5298
25,0.6423
26,0.6771
27,0.598
28,0.6902
29,0.5348
30,0.6716
31,0.6468
32,0.6936
33,0.6444
34,0.6846
35,0.6299
36,0.6357
37,0.6085
38,0.6086
39,0.5391
40,0.7076
41,0.5128
42,0.5176
43,0.6565
44,0.5996
45,0.6878
46,0.5875
47,0.5273
48,0.6896
49,0.6305
50,0.6147
51,0.5948
52,0.5576
53,0.6296
54,0.6404
55,0.6878
56,0.6322
57,0.6819
58,0.6748
59,0.5383
60,0.7404
61,0.6194
62,0.5569
63,0.6177
64,0.6986
65,0.709
66,0.6303
67,0.5459
68,0.6151
69,0.5753
70,0.6128
71,0.571
72,0.6647
73,0.6357
74,0.5949
75,0.6672
76,0.5288
77,0.6267
78,0.5112
79,0.6793
80,0.6423
81,0.5981
82,0.6922
83,0.6564
84,0.6436
85,0.6181
86,0.5608
87,0.6342
88,0.5713
89,0.5882
90,0.6777
91,0.4954
92,0.6359
93,0.6135
94,0.4735
95,0.6176
96,0.5563
97,0.5555
98,0.514
99,0.6419
100,0.4077
101,0.6048
102,0.5659
103,0.5189
104,0.6314
105,0.5811
106,0.6513
107,0.5711
108,0.6419
109,0.535
110,0.5057
111,0.6462
112,0.4945
113,0.5879
114,0.5987
115,0.6246
116,0.5604
117,0.5944
118,0.6892
119,0.6566
120,0.5485
121,0.6098
122,0.6102
123,0.5714
124,0.5954
125,0.6272
126,0.6535
127,0.5969
128,0.5852
129,0.6682
130,0.5673
131,0.5996
132,0.6542
133,0.6275
134,0.6398
135,0.6
136,0.5109
137,0.6823
138,0.6348
139,0.5805
140,0.6349
141,0.6783
142,0.5815
143,0.7108
144,0.7201
145,0.6904
146,0.7389
147,0.7469
148,0.765
149,0.7341
150,0.7203
151,0.7492
152,0.697
153,0.7022
154,0.6979
155,0.7611
156,0.6299
157,0.7703
158,0.7276
159,0.6265
160,0.7633
161,0.6085
162,0.6954
163,0.628
164,0.6523
165,0.7214
166,0.6277
167,0.7419
168,0.7208
169,0.6323
170,0.6789
171,0.6716
172,0.6367
173,0.738
174,0.7087
175,0.6008
176,0.6004
177,0.6309
178,0.5802
179,0.6094
180,0.598
181,0.6277
182,0.6521
183,0.6915
184,0.5988
185,0.6887
186,0.6004
187,0.6799
188,0.5922
189,0.6314
190,0.6082
191,0.6227
192,0.6242
193,0.637
194,0.6829
195,0.7408
196,0.6663
197,0.6255
198,0.6617
199,0.6979
200,0.6583
