variant,step,population,num_traces,reward_mean
rlonly,1,retained_trainable,128,0.4596354166666667
rlonly,2,retained_trainable,128,0.41744791666666664
rlonly,3,retained_trainable,128,0.4264322916666667
rlonly,4,retained_trainable,128,0.5395833333333333
rlonly,5,retained_trainable,128,0.5240885416666666
rlonly,6,retained_trainable,130,0.4451282051282051
rlonly,7,retained_trainable,128,0.48541666666666666
rlonly,8,retained_trainable,128,0.45755208333333336
rlonly,9,retained_trainable,128,0.4947916666666667
rlonly,10,retained_trainable,128,0.6286458333333333
rlonly,11,retained_trainable,126,0.4824074074074074
rlonly,12,retained_trainable,128,0.547265625
rlonly,13,retained_trainable,128,0.6295572916666666
rlonly,14,retained_trainable,130,0.546025641025641
rlonly,15,retained_trainable,130,0.4957692307692308
rlonly,16,retained_trainable,128,0.5822916666666667
rlonly,17,retained_trainable,128,0.6313802083333333
rlonly,18,retained_trainable,126,0.6346560846560847
rlonly,19,retained_trainable,128,0.4890625
rlonly,20,retained_trainable,128,0.571484375
rlonly,21,retained_trainable,128,0.576171875
rlonly,22,retained_trainable,128,0.5677083333333334
rlonly,23,retained_trainable,128,0.6119791666666666
rlonly,24,retained_trainable,128,0.6078125
rlonly,25,retained_trainable,130,0.5758974358974358
rlonly,26,retained_trainable,126,0.5023809523809524
rlonly,27,retained_trainable,128,0.5325520833333334
rlonly,28,retained_trainable,128,0.623828125
rlonly,29,retained_trainable,128,0.5226562499999999
rlonly,30,retained_trainable,126,0.6185185185185186
rlonly,31,retained_trainable,128,0.6247395833333333
rlonly,32,retained_trainable,128,0.6877604166666667
rlonly,33,retained_trainable,130,0.6543589743589743
rlonly,34,retained_trainable,128,0.6729166666666666
rlonly,35,retained_trainable,128,0.6635416666666667
rlonly,36,retained_trainable,128,0.6583333333333333
rlonly,37,retained_trainable,128,0.6432291666666666
rlonly,38,retained_trainable,128,0.57578125
rlonly,39,retained_trainable,128,0.67578125
rlonly,40,retained_trainable,128,0.553125
rlonly,41,retained_trainable,128,0.71328125
rlonly,42,retained_trainable,128,0.6296875
rlonly,43,retained_trainable,128,0.6229166666666667
rlonly,44,retained_trainable,128,0.5838541666666667
rlonly,45,retained_trainable,128,0.6630208333333333
rlonly,46,retained_trainable,128,0.6239583333333333
rlonly,47,retained_trainable,128,0.6294270833333333
rlonly,48,retained_trainable,128,0.6447916666666667
rlonly,49,retained_trainable,128,0.57734375
rlonly,50,retained_trainable,128,0.5307291666666667
rlonly,51,retained_trainable,128,0.587890625
rlonly,52,retained_trainable,128,0.558203125
rlonly,53,retained_trainable,128,0.5466145833333333
rlonly,54,retained_trainable,128,0.5739583333333333
rlonly,55,retained_trainable,128,0.6166666666666667
rlonly,56,retained_trainable,128,0.5989583333333334
rlonly,57,retained_trainable,128,0.6294270833333333
rlonly,58,retained_trainable,128,0.6119791666666666
rlonly,59,retained_trainable,128,0.6059895833333333
rlonly,60,retained_trainable,128,0.5916666666666667
rlonly,61,retained_trainable,128,0.6231770833333333
rlonly,62,retained_trainable,128,0.5963541666666666
rlonly,63,retained_trainable,128,0.5354166666666667
rlonly,64,retained_trainable,128,0.61875
rlonly,65,retained_trainable,128,0.596875
rlonly,66,retained_trainable,128,0.5809895833333333
rlonly,67,retained_trainable,128,0.6
rlonly,68,retained_trainable,132,0.5641414141414142
rlonly,69,retained_trainable,128,0.5505208333333333
rlonly,70,retained_trainable,128,0.5872395833333334
rlonly,71,retained_trainable,128,0.59453125
rlonly,72,retained_trainable,128,0.6161458333333333
rlonly,73,retained_trainable,126,0.6526455026455027
rlonly,74,retained_trainable,128,0.6515625
rlonly,75,retained_trainable,128,0.6696614583333333
rlonly,76,retained_trainable,128,0.6536458333333334
rlonly,77,retained_trainable,128,0.59296875
rlonly,78,retained_trainable,128,0.6421875
rlonly,79,retained_trainable,128,0.59140625
rlonly,80,retained_trainable,128,0.6130208333333333
rlonly,81,retained_trainable,128,0.6065104166666666
rlonly,82,retained_trainable,128,0.48203124999999997
rlonly,83,retained_trainable,128,0.5602864583333333
rlonly,84,retained_trainable,126,0.5791005291005291
rlonly,85,retained_trainable,128,0.5850260416666667
rlonly,86,retained_trainable,128,0.5360677083333333
rlonly,87,retained_trainable,128,0.56015625
rlonly,88,retained_trainable,128,0.5091145833333334
rlonly,89,retained_trainable,128,0.5229166666666667
rlonly,90,retained_trainable,128,0.56953125
rlonly,91,retained_trainable,128,0.48854166666666665
rlonly,92,retained_trainable,128,0.5684895833333333
rlonly,93,retained_trainable,128,0.5005208333333333
rlonly,94,retained_trainable,128,0.5255208333333333
rlonly,95,retained_trainable,128,0.5651041666666666
rlonly,96,retained_trainable,128,0.49947916666666664
rlonly,97,retained_trainable,128,0.4796875
rlonly,98,retained_trainable,131,0.5991094147582697
rlonly,99,retained_trainable,128,0.5
rlonly,100,retained_trainable,128,0.48671875
echo005,1,retained_trainable,128,0.4576822916666667
echo005,2,retained_trainable,128,0.405078125
echo005,3,retained_trainable,128,0.4674479166666667
echo005,4,retained_trainable,128,0.45455729166666664
echo005,5,retained_trainable,132,0.4311868686868687
echo005,6,retained_trainable,125,0.5076
echo005,7,retained_trainable,130,0.5641025641025641
echo005,8,retained_trainable,128,0.51796875
echo005,9,retained_trainable,125,0.5189333333333332
echo005,10,retained_trainable,134,0.6043532338308458
echo005,11,retained_trainable,128,0.600390625
echo005,12,retained_trainable,123,0.5551490514905149
echo005,13,retained_trainable,128,0.64609375
echo005,14,retained_trainable,128,0.6368489583333333
echo005,15,retained_trainable,132,0.648989898989899
echo005,16,retained_trainable,128,0.6088541666666667
echo005,17,retained_trainable,128,0.576953125
echo005,18,retained_trainable,128,0.5703125
echo005,19,retained_trainable,128,0.6653645833333334
echo005,20,retained_trainable,130,0.7337179487179488
echo005,21,retained_trainable,128,0.6391927083333333
echo005,22,retained_trainable,128,0.6256510416666666
echo005,23,retained_trainable,128,0.75546875
