step,train_reward
1,0.3965
2,0.4652
3,0.3203
4,0.4366
5,0.623
6,0.4288
7,0.448
8,0.5757
9,0.5138
10,0.6014
11,0.4121
12,0.6626
13,0.5375
14,0.5132
15,0.5509
16,0.6595
17,0.558
18,0.6719
19,0.7085
20,0.6048
21,0.5599
22,0.5742
23,0.652
24,0.6908
25,0.6126
26,0.5942
27,0.6894
28,0.6217
29,0.6981
30,0.6529
31,0.6194
32,0.5384
33,0.5779
34,0.7023
35,0.6089
36,0.6053
37,0.5943
38,0.6105
39,0.6888
40,0.598
41,0.6695
42,0.6801
43,0.7072
44,0.7109
45,0.7251
46,0.6695
47,0.6836
48,0.6889
49,0.6737
50,0.7702
51,0.7413
52,0.7628
53,0.7049
54,0.6891
55,0.7299
56,0.7277
57,0.682
58,0.7013
59,0.66
60,0.6811
61,0.601
62,0.5583
63,0.6863
64,0.6815
65,0.6997
66,0.7116
67,0.626
68,0.619
69,0.6271
70,0.5977
71,0.6346
72,0.6395
73,0.6211
74,0.588
75,0.6621
76,0.6112
77,0.656
78,0.6031
79,0.6333
80,0.5516
81,0.5986
82,0.5954
83,0.6427
84,0.6203
85,0.6734
86,0.6255
87,0.625
88,0.6078
89,0.6195
90,0.694
91,0.6793
92,0.7307
93,0.6052
94,0.7503
95,0.5948
96,0.6596
97,0.644
98,0.6461
99,0.6682
100,0.7242
101,0.6292
102,0.6508
103,0.668
104,0.5958
105,0.6714
106,0.6849
107,0.6089
108,0.6521
109,0.6891
110,0.6211
111,0.7292
112,0.7047
113,0.6229
114,0.6513
115,0.6453
116,0.5771
117,0.625
118,0.6503
119,0.6464
120,0.6518
121,0.6557
122,0.648
123,0.578
124,0.6892
125,0.684
126,0.602
127,0.6172
128,0.6272
129,0.6746
130,0.5833
131,0.6902
132,0.5924
133,0.6167
134,0.6125
135,0.6566
136,0.6652
137,0.6637
138,0.6167
139,0.6786
140,0.6294
141,0.6625
142,0.6307
143,0.625
144,0.718
145,0.6802
146,0.5539
147,0.5906
148,0.5357
149,0.6272
150,0.6204
151,0.6736
152,0.6312
153,0.6339
154,0.7271
155,0.6224
156,0.6216
157,0.5414
158,0.5927
159,0.593
160,0.5648
161,0.6573
162,0.7052
163,0.662
164,0.6697
165,0.6677
166,0.6818
167,0.7083
168,0.7026
169,0.6297
170,0.675
171,0.6776
172,0.7202
173,0.6897
174,0.6917
175,0.6333
176,0.647
177,0.6841
178,0.6875
179,0.6365
180,0.7026
181,0.65
182,0.6542
183,0.6745
184,0.663
185,0.65
186,0.65
187,0.6625
188,0.6526
189,0.6625
190,0.6417
191,0.6859
192,0.6422
193,0.6911
194,0.6901
195,0.7172
196,0.6383
197,0.6596
198,0.7026
199,0.6374
200,0.7129
