step,train_reward
1,0.4478
2,0.4193
3,0.3648
4,0.5613
5,0.4609
6,0.4764
7,0.6191
8,0.4909
9,0.5806
10,0.4492
11,0.6384
12,0.5001
13,0.6271
14,0.5559
15,0.6425
16,0.6009
17,0.4898
18,0.6974
19,0.6079
20,0.7025
21,0.765
22,0.4854
23,0.6154
24,0.6258
25,0.5961
26,0.6043
27,0.5766
28,0.6271
29,0.6533
30,0.6122
31,0.5629
32,0.6328
33,0.613
34,0.666
35,0.6695
36,0.4939
37,0.6062
38,0.5964
39,0.5668
40,0.5863
41,0.7095
42,0.7181
43,0.6625
44,0.6445
45,0.6083
46,0.6253
47,0.579
48,0.5339
49,0.5845
50,0.5888
51,0.5724
52,0.5846
53,0.5874
54,0.576
55,0.5716
56,0.6008
57,0.5771
58,0.5867
59,0.598
60,0.5863
61,0.6135
62,0.6118
63,0.5538
64,0.6178
65,0.601
66,0.6699
67,0.6125
68,0.626
69,0.5755
70,0.5931
71,0.6167
72,0.5501
73,0.6109
74,0.5854
75,0.5901
76,0.5773
77,0.6003
78,0.625
79,0.5714
80,0.6698
81,0.6086
82,0.5917
83,0.5792
84,0.5641
85,0.5797
86,0.5664
87,0.6198
88,0.4672
89,0.4691
90,0.3906
91,0.6116
92,0.5005
93,0.4802
94,0.5773
95,0.5286
96,0.5335
97,0.4658
98,0.5464
99,0.5469
100,0.6129
101,0.5491
102,0.6509
103,0.5167
104,0.5819
105,0.6504
106,0.5841
107,0.731
108,0.5778
109,0.5895
110,0.695
111,0.6682
112,0.638
113,0.621
114,0.6937
115,0.5158
116,0.6943
117,0.6846
118,0.623
119,0.6733
120,0.5676
121,0.7038
122,0.5974
123,0.5574
124,0.7738
125,0.6366
126,0.6725
127,0.663
128,0.544
129,0.6686
130,0.6921
131,0.7033
132,0.5357
133,0.6792
134,0.6762
135,0.654
136,0.6648
137,0.7605
138,0.6423
139,0.5191
140,0.5402
141,0.6909
142,0.6441
143,0.6296
144,0.6159
145,0.6047
146,0.5857
147,0.585
148,0.6211
149,0.6442
150,0.6932
151,0.6522
152,0.7019
153,0.6578
154,0.7398
155,0.7069
156,0.7046
157,0.8246
158,0.6052
159,0.6979
160,0.6733
161,0.7049
162,0.7043
163,0.6697
164,0.6776
165,0.668
166,0.6486
167,0.6201
168,0.7326
169,0.7229
170,0.6674
171,0.6095
172,0.5669
173,0.6198
174,0.5964
175,0.6253
176,0.5875
177,0.6323
178,0.6099
179,0.5919
180,0.613
181,0.6128
182,0.575
183,0.6003
184,0.5974
185,0.6266
186,0.5667
187,0.6198
188,0.5708
189,0.5917
190,0.5583
191,0.5859
192,0.5982
193,0.5901
194,0.5583
195,0.5833
196,0.5667
197,0.6253
198,0.55
199,0.618
200,0.5693
