schedule,step,train_reward
echo50_rl150,1,0.4538
echo50_rl150,2,0.3894
echo50_rl150,3,0.3737
echo50_rl150,4,0.5073
echo50_rl150,5,0.5215
echo50_rl150,6,0.4352
echo50_rl150,7,0.5579
echo50_rl150,8,0.4974
echo50_rl150,9,0.4921
echo50_rl150,10,0.4828
echo50_rl150,11,0.4599
echo50_rl150,12,0.61
echo50_rl150,13,0.5563
echo50_rl150,14,0.5787
echo50_rl150,15,0.5757
echo50_rl150,16,0.7155
echo50_rl150,17,0.4922
echo50_rl150,18,0.6133
echo50_rl150,19,0.5498
echo50_rl150,20,0.5651
echo50_rl150,21,0.5378
echo50_rl150,22,0.5258
echo50_rl150,23,0.5866
echo50_rl150,24,0.6865
echo50_rl150,25,0.5796
echo50_rl150,26,0.7174
echo50_rl150,27,0.5712
echo50_rl150,28,0.6804
echo50_rl150,29,0.6275
echo50_rl150,30,0.7488
echo50_rl150,31,0.5055
echo50_rl150,32,0.6445
echo50_rl150,33,0.5715
echo50_rl150,34,0.6747
echo50_rl150,35,0.704
echo50_rl150,36,0.6012
echo50_rl150,37,0.6004
echo50_rl150,38,0.6753
echo50_rl150,39,0.5571
echo50_rl150,40,0.6607
echo50_rl150,41,0.6194
echo50_rl150,42,0.6654
echo50_rl150,43,0.7227
echo50_rl150,44,0.7273
echo50_rl150,45,0.5943
echo50_rl150,46,0.673
echo50_rl150,47,0.5969
echo50_rl150,48,0.7121
echo50_rl150,49,0.7012
echo50_rl150,50,0.5953
echo50_rl150,51,0.6615
echo50_rl150,52,0.6522
echo50_rl150,53,0.6612
echo50_rl150,54,0.6833
echo50_rl150,55,0.6599
echo50_rl150,56,0.7068
echo50_rl150,57,0.677
echo50_rl150,58,0.5966
echo50_rl150,59,0.6725
echo50_rl150,60,0.6617
echo50_rl150,61,0.6766
echo50_rl150,62,0.6626
echo50_rl150,63,0.6753
echo50_rl150,64,0.7598
echo50_rl150,65,0.6923
echo50_rl150,66,0.737
echo50_rl150,67,0.693
echo50_rl150,68,0.6927
echo50_rl150,69,0.6286
echo50_rl150,70,0.7076
echo50_rl150,71,0.6036
echo50_rl150,72,0.5798
echo50_rl150,73,0.6293
echo50_rl150,74,0.647
echo50_rl150,75,0.5928
echo50_rl150,76,0.6115
echo50_rl150,77,0.5727
echo50_rl150,78,0.6401
echo50_rl150,79,0.6146
echo50_rl150,80,0.5737
echo50_rl150,81,0.6094
echo50_rl150,82,0.6469
echo50_rl150,83,0.6504
echo50_rl150,84,0.5987
echo50_rl150,85,0.5792
echo50_rl150,86,0.5917
echo50_rl150,87,0.6092
echo50_rl150,88,0.6253
echo50_rl150,89,0.6641
echo50_rl150,90,0.6057
echo50_rl150,91,0.6086
echo50_rl150,92,0.643
echo50_rl150,93,0.6164
echo50_rl150,94,0.6419
echo50_rl150,95,0.651
echo50_rl150,96,0.6732
echo50_rl150,97,0.6845
echo50_rl150,98,0.6438
echo50_rl150,99,0.575
echo50_rl150,100,0.5589
echo50_rl150,101,0.6147
echo50_rl150,102,0.5484
echo50_rl150,103,0.5094
echo50_rl150,104,0.6195
echo50_rl150,105,0.5801
echo50_rl150,106,0.6708
echo50_rl150,107,0.6767
echo50_rl150,108,0.6345
echo50_rl150,109,0.6227
echo50_rl150,110,0.6581
echo50_rl150,111,0.6673
echo50_rl150,112,0.6772
echo50_rl150,113,0.6512
echo50_rl150,114,0.6107
echo50_rl150,115,0.6276
echo50_rl150,116,0.6367
echo50_rl150,117,0.5793
echo50_rl150,118,0.5457
echo50_rl150,119,0.5546
