independent_run,run,generated_candidates,retained_trainable,retained_fraction,extra_rollouts,extra_per_step,candidates_per_retained,mean_turns_all,mean_turns_retained,turn_limit_rate_all,turn_limit_rate_retained,invalid_action_rate_all,invalid_action_rate_retained,turns_1-25,turn_limit_1-25,extra_per_step_1-25,turns_26-50,turn_limit_26-50,extra_per_step_26-50,turns_51-75,turn_limit_51-75,extra_per_step_51-75,turns_76-100,turn_limit_76-100,extra_per_step_76-100
1,always_on/rl_only,81688,12806,0.156767211830379,68882,688.82,6.378884897704201,10.254529429047105,18.68444479150398,0.25020810890216433,0.832890832422302,0.10749434146061942,0.17050398498785907,16.618125,0.658125,155.16,18.65564566437929,0.8100436681222707,770.04,19.8184375,0.9534375,885.44,19.645625,0.91,944.64
1,always_on/echo_0.05,73885,12810,0.1733775461866414,61075,610.75,5.76775956284153,9.88122081613318,17.82217017954723,0.2517155038235095,0.7453551912568306,0.10661385010286628,0.15977521002882147,15.690074906367041,0.6151685393258427,100.28,17.758900687070582,0.7058088694565896,532.36,18.454119850187265,0.75187265917603,725.28,19.3875,0.90875,1085.08
1,always_on/echo_0.5,59768,12804,0.21422834961852497,46964,469.64,4.667916276163699,9.428824789184848,17.646516713527024,0.2535972426716638,0.7397688222430491,0.10149731519567308,0.13318226478893186,15.765,0.6475,76.16,16.728464419475657,0.6788389513108615,289.12,18.83625,0.79375,723.84,19.2575,0.8390625,789.44
1,always_on/echo_1.0,46262,12809,0.2768795123427435,33453,334.53,3.6116792880006248,10.052894384159785,16.92973690373956,0.29330768233107085,0.7014599110000781,0.11354708031315917,0.14701664261043196,15.545142143080287,0.6457357075913777,49.32,15.758200562324273,0.6188691034051859,202.08,17.7034375,0.70125,440.36,18.709073900841908,0.8397256002494543,646.36
2,always_on/rl_only,77544,12805,0.16513205405963066,64739,647.39,6.055759468957438,9.354508408129577,18.593908629441625,0.2619802950582895,0.8463100351425225,0.1381402453314511,0.17335937335937335,16.5165418227216,0.6794631710362048,160.0,19.07191994996873,0.8755472170106317,825.2,19.46533416614616,0.9362898188632105,912.88,19.32396126210559,0.8940955951265229,691.48
2,always_on/echo_0.05,76426,12806,0.1675607777457933,63620,636.2,5.967983757613618,9.541399523722294,17.959315945650477,0.23202836730955434,0.7869748555364673,0.12383247098576407,0.18341471474474644,15.87722586691659,0.6260543580131209,96.12,17.350811485642947,0.7034956304619226,528.72,19.6425,0.96625,1160.64,18.96782255545142,0.852233676975945,759.32
2,always_on/echo_0.5,71099,12808,0.18014318063545198,58291,582.91,5.551139912554653,8.827170564986849,16.996486570893193,0.21429274673342805,0.6926139912554653,0.08356078603830766,0.1386644372068666,15.549172650640026,0.6425226350296597,63.72,16.032822757111596,0.6211316036261332,279.04,17.916094822208358,0.722707423580786,875.28,18.4871875,0.7840625,1113.6
2,always_on/echo_1.0,54622,12807,0.23446596609424775,41815,418.15,4.265011321933318,9.473051151550656,17.07659873506676,0.25220607081395774,0.6900913562895291,0.08700769369024634,0.1256652949245542,15.47411104179663,0.6422333125389894,61.72,15.947137941820456,0.6352830778855176,226.4,18.23689138576779,0.7284644194756554,557.84,18.64875,0.754375,826.64
3,always_on/rl_only,91843,12800,0.13936826976470718,79043,790.43,7.175234375,9.389098788149342,18.39609375,0.21615147588820052,0.8234375,0.13654976151627637,0.2038263897736442,16.6284375,0.675625,149.76,18.5590625,0.8178125,833.4,18.8921875,0.8653125,943.04,19.5046875,0.935,1235.52
3,always_on/echo_0.05,77280,12807,0.165722049689441,64473,644.73,6.034200046849379,9.393698240165632,18.215585226829077,0.24270186335403726,0.8091668618724135,0.08710026241657426,0.11319533450213685,16.067436778020607,0.6528254761161412,122.16,18.057740324594256,0.7515605493133583,563.32,19.1509375,0.89875,940.16,19.5884375,0.93375,953.28
3,always_on/echo_0.5,62336,12806,0.2054350616016427,49530,495.3,4.867718257067,9.229803003080082,17.37865063251601,0.2306532340862423,0.7234109011400905,0.10400469975614801,0.14478029754977512,15.810996563573884,0.647922524211184,63.2,16.015610365282548,0.621292538245395,182.4,18.680910792264505,0.7960074859638179,773.28,19.008448060075093,0.8285356695869838,962.32
3,always_on/echo_1.0,48198,12805,0.26567492427071665,35393,353.93,3.763998438110113,10.565459147682477,17.496915267473643,0.3036433047014399,0.7290121046466224,0.08074480494232514,0.10790544883239306,15.838175570134332,0.6488597313339581,61.04,16.64845457383703,0.6443958788635654,250.8,18.319188767550703,0.7672386895475819,540.88,19.18397997496871,0.8557571964956195,563.0
